docname,topic,proportion
newsgroups:1762,001,1.0
newsgroups:1797,001,1.0
newsgroups:1832,006,1.0
newsgroups:1867,003,1.0
newsgroups:1902,001,1.0
newsgroups:1937,004,1.0
newsgroups:1972,008,1.0
newsgroups:2007,013,1.0
newsgroups:2042,009,1.0
newsgroups:2077,008,1.0
newsgroups:2112,013,1.0
newsgroups:2147,001,1.0
newsgroups:2182,009,1.0
newsgroups:2217,009,0.29302
newsgroups:2217,013,0.265165
newsgroups:2217,010,0.244006
newsgroups:2217,003,0.106716
newsgroups:2217,015,0.091092
newsgroups:2252,009,1.0
newsgroups:2287,002,1.0
newsgroups:2322,013,0.505309
newsgroups:2322,010,0.297214
newsgroups:2322,003,0.197477
newsgroups:2357,007,0.428644
newsgroups:2357,013,0.212222
newsgroups:2357,004,0.176523
newsgroups:2357,001,0.082898
newsgroups:2357,003,0.059235
newsgroups:2357,006,0.040477
newsgroups:2392,013,0.43597
newsgroups:2392,015,0.232717
newsgroups:2392,004,0.181516
newsgroups:2392,010,0.086308
newsgroups:2392,016,0.063489
newsgroups:2427,011,1.0
newsgroups:2462,001,1.0
newsgroups:2497,003,1.0
newsgroups:2532,002,1.0
newsgroups:2567,000,0.494878
newsgroups:2567,001,0.311209
newsgroups:2567,002,0.193913
newsgroups:2602,003,0.398855
newsgroups:2602,004,0.324834
newsgroups:2602,013,0.27631
newsgroups:2637,004,1.0
newsgroups:2672,013,1.0
newsgroups:2707,002,1.0
newsgroups:2742,004,1.0
newsgroups:2777,013,1.0
newsgroups:2812,013,1.0
newsgroups:2847,010,1.0
newsgroups:2882,013,1.0
newsgroups:2917,013,1.0
newsgroups:2952,004,1.0
newsgroups:2987,003,1.0
newsgroups:3022,004,1.0
newsgroups:3057,019,1.0
newsgroups:3092,018,0.404705
newsgroups:3092,004,0.22282
newsgroups:3092,003,0.204416
newsgroups:3092,016,0.168059
newsgroups:3127,002,1.0
newsgroups:3162,019,1.0
newsgroups:3197,001,0.33885
newsgroups:3197,004,0.249424
newsgroups:3197,013,0.158561
newsgroups:3197,000,0.109705
newsgroups:3197,019,0.066312
newsgroups:3197,002,0.048991
newsgroups:3197,003,0.028157
newsgroups:3232,010,1.0
newsgroups:3267,003,1.0
newsgroups:3302,004,0.520177
newsgroups:3302,010,0.269336
newsgroups:3302,001,0.099483
newsgroups:3302,013,0.06791
newsgroups:3302,002,0.043094
newsgroups:3337,003,1.0
newsgroups:3372,003,1.0
newsgroups:3407,004,1.0
newsgroups:3442,004,1.0
newsgroups:3477,003,1.0
newsgroups:3512,003,1.0
newsgroups:3547,003,1.0
newsgroups:3582,018,0.549345
newsgroups:3582,010,0.191126
newsgroups:3582,007,0.138843
newsgroups:3582,004,0.060442
newsgroups:3582,001,0.060245
newsgroups:3617,018,1.0
newsgroups:3652,001,1.0
newsgroups:3687,002,1.0
newsgroups:3722,010,1.0
newsgroups:3757,004,1.0
newsgroups:3792,018,0.380463
newsgroups:3792,003,0.362268
newsgroups:3792,010,0.257269
newsgroups:3827,003,0.684141
newsgroups:3827,018,0.111471
newsgroups:3827,004,0.111058
newsgroups:3827,001,0.09333
newsgroups:3862,010,1.0
newsgroups:3897,018,1.0
newsgroups:3932,010,1.0
newsgroups:3967,013,1.0
newsgroups:4002,004,0.468239
newsgroups:4002,000,0.155884
newsgroups:4002,001,0.123473
newsgroups:4002,007,0.10536
newsgroups:4002,013,0.072934
newsgroups:4002,002,0.063746
newsgroups:4002,016,0.010365
newsgroups:4037,004,1.0
newsgroups:4072,003,0.530733
newsgroups:4072,004,0.186379
newsgroups:4072,009,0.170883
newsgroups:4072,013,0.112005
newsgroups:4107,002,1.0
newsgroups:4142,010,0.389334
newsgroups:4142,003,0.128588
newsgroups:4142,017,0.120816
newsgroups:4142,002,0.114283
newsgroups:4142,011,0.093055
newsgroups:4142,004,0.089987
newsgroups:4142,007,0.063937
newsgroups:4177,011,1.0
newsgroups:4212,003,1.0
newsgroups:4247,004,1.0
newsgroups:4282,003,0.409116
newsgroups:4282,011,0.320283
newsgroups:4282,004,0.270601
newsgroups:4317,003,1.0
newsgroups:4352,010,1.0
newsgroups:4387,011,0.463657
newsgroups:4387,003,0.289966
newsgroups:4387,018,0.246377
newsgroups:4422,003,1.0
newsgroups:4457,003,0.273801
newsgroups:4457,001,0.206751
newsgroups:4457,018,0.199275
newsgroups:4457,011,0.189905
newsgroups:4457,004,0.130269
newsgroups:4492,002,1.0
newsgroups:4527,003,1.0
newsgroups:4562,010,1.0
newsgroups:4597,010,0.499807
newsgroups:4597,007,0.211387
newsgroups:4597,011,0.151083
newsgroups:4597,003,0.137723
newsgroups:4632,003,1.0
newsgroups:4667,011,1.0
newsgroups:4702,010,1.0
newsgroups:4737,001,1.0
newsgroups:4772,003,1.0
newsgroups:4807,011,1.0
newsgroups:4842,004,1.0
newsgroups:4877,010,0.320264
newsgroups:4877,003,0.227014
newsgroups:4877,001,0.186946
newsgroups:4877,011,0.143411
newsgroups:4877,004,0.122366
newsgroups:4912,010,0.457052
newsgroups:4912,001,0.284303
newsgroups:4912,004,0.176507
newsgroups:4912,003,0.082139
newsgroups:4947,002,1.0
newsgroups:4982,003,1.0
newsgroups:5017,003,1.0
newsgroups:5052,001,1.0
newsgroups:5087,001,1.0
newsgroups:5122,013,0.390967
newsgroups:5122,003,0.261054
newsgroups:5122,009,0.140074
newsgroups:5122,007,0.104768
newsgroups:5122,019,0.103138
newsgroups:5157,011,1.0
newsgroups:5192,013,1.0
newsgroups:5227,004,1.0
newsgroups:5262,013,0.365541
newsgroups:5262,017,0.281758
newsgroups:5262,003,0.156105
newsgroups:5262,004,0.106901
newsgroups:5262,001,0.089695
newsgroups:5297,013,1.0
newsgroups:5332,001,0.268215
newsgroups:5332,013,0.234438
newsgroups:5332,003,0.160243
newsgroups:5332,009,0.135285
newsgroups:5332,004,0.08045
newsgroups:5332,011,0.049925
newsgroups:5332,002,0.021919
newsgroups:5332,012,0.013614
newsgroups:5332,007,0.012895
newsgroups:5332,016,0.009533
newsgroups:5367,010,1.0
newsgroups:5402,013,0.37441
newsgroups:5402,001,0.361283
newsgroups:5402,000,0.264307
newsgroups:5437,001,0.448387
newsgroups:5437,004,0.268304
newsgroups:5437,015,0.119783
newsgroups:5437,006,0.102611
newsgroups:5437,013,0.060915
newsgroups:5472,001,1.0
newsgroups:5507,001,1.0
newsgroups:5542,004,1.0
newsgroups:5577,003,1.0
newsgroups:5612,001,1.0
newsgroups:5647,011,0.665233
newsgroups:5647,003,0.264852
newsgroups:5647,009,0.069915
newsgroups:5682,001,1.0
newsgroups:5717,013,1.0
newsgroups:5752,013,0.266669
newsgroups:5752,001,0.266242
newsgroups:5752,003,0.149395
newsgroups:5752,009,0.13552
newsgroups:5752,004,0.107829
newsgroups:5752,002,0.028403
newsgroups:5752,007,0.028397
newsgroups:5752,019,0.00921
newsgroups:5752,016,0.008336
newsgroups:5787,013,0.755571
newsgroups:5787,003,0.123457
newsgroups:5787,016,0.120972
newsgroups:5822,013,0.554583
newsgroups:5822,010,0.161056
newsgroups:5822,017,0.133333
newsgroups:5822,001,0.124597
newsgroups:5822,004,0.026432
newsgroups:5857,004,1.0
newsgroups:5892,001,1.0
newsgroups:5927,001,1.0
newsgroups:5962,004,0.424663
newsgroups:5962,001,0.352904
newsgroups:5962,013,0.222433
newsgroups:5997,003,1.0
newsgroups:6032,007,1.0
newsgroups:6067,003,1.0
newsgroups:6102,007,1.0
newsgroups:6137,008,1.0
newsgroups:6172,019,1.0
newsgroups:6207,007,0.494712
newsgroups:6207,003,0.280732
newsgroups:6207,018,0.224556
newsgroups:6242,001,1.0
newsgroups:6277,006,1.0
newsgroups:6312,007,0.667523
newsgroups:6312,003,0.196733
newsgroups:6312,019,0.135744
newsgroups:6347,004,1.0
newsgroups:6382,011,1.0
newsgroups:6417,018,0.336917
newsgroups:6417,007,0.233214
newsgroups:6417,004,0.085689
newsgroups:6417,003,0.080144
newsgroups:6417,001,0.066892
newsgroups:6417,011,0.06441
newsgroups:6417,019,0.051654
newsgroups:6417,012,0.043278
newsgroups:6417,002,0.037801
newsgroups:6452,007,0.558309
newsgroups:6452,003,0.239056
newsgroups:6452,002,0.202635
newsgroups:6487,007,1.0
newsgroups:6522,002,1.0
newsgroups:6557,003,1.0
newsgroups:6592,014,1.0
newsgroups:6627,001,0.367213
newsgroups:6627,000,0.335713
newsgroups:6627,007,0.148549
newsgroups:6627,012,0.096346
newsgroups:6627,002,0.052179
newsgroups:6662,007,0.53528
newsgroups:6662,001,0.12529
newsgroups:6662,002,0.124963
newsgroups:6662,015,0.074388
newsgroups:6662,000,0.055944
newsgroups:6662,008,0.047751
newsgroups:6662,010,0.036383
newsgroups:6697,007,1.0
newsgroups:6732,007,1.0
newsgroups:6767,007,1.0
newsgroups:6802,003,1.0
newsgroups:6837,007,0.280362
newsgroups:6837,019,0.263973
newsgroups:6837,009,0.162334
newsgroups:6837,004,0.143343
newsgroups:6837,017,0.078636
newsgroups:6837,003,0.053361
newsgroups:6837,002,0.01799
newsgroups:6872,007,1.0
newsgroups:6907,007,1.0
newsgroups:6942,010,0.394299
newsgroups:6942,007,0.267238
newsgroups:6942,018,0.201912
newsgroups:6942,003,0.09646
newsgroups:6942,004,0.040091
newsgroups:6977,018,1.0
newsgroups:7012,002,0.816893
newsgroups:7012,001,0.183107
newsgroups:7047,002,1.0
newsgroups:7082,003,0.416491
newsgroups:7082,014,0.168775
newsgroups:7082,002,0.151569
newsgroups:7082,011,0.133041
newsgroups:7082,008,0.130123
newsgroups:7117,002,1.0
newsgroups:7152,014,1.0
newsgroups:7187,002,1.0
newsgroups:7222,011,1.0
newsgroups:7257,014,0.396289
newsgroups:7257,011,0.359473
newsgroups:7257,001,0.244238
newsgroups:7292,002,1.0
newsgroups:7327,012,1.0
newsgroups:7362,014,1.0
newsgroups:7397,000,0.507988
newsgroups:7397,001,0.264611
newsgroups:7397,002,0.227401
newsgroups:7432,014,0.353044
newsgroups:7432,002,0.220418
newsgroups:7432,007,0.198015
newsgroups:7432,003,0.133198
newsgroups:7432,000,0.055792
newsgroups:7432,001,0.024953
newsgroups:7432,005,0.01458
newsgroups:7467,002,1.0
newsgroups:7502,012,1.0
newsgroups:7537,012,0.81361
newsgroups:7537,014,0.186386
newsgroups:7572,002,0.318635
newsgroups:7572,014,0.278703
newsgroups:7572,001,0.163031
newsgroups:7572,000,0.091867
newsgroups:7572,011,0.079155
newsgroups:7572,003,0.060015
newsgroups:7572,005,0.008594
newsgroups:7607,001,1.0
newsgroups:7642,003,1.0
newsgroups:7677,002,1.0
newsgroups:7712,009,1.0
newsgroups:7747,019,1.0
newsgroups:7782,000,1.0
newsgroups:7817,003,1.0
newsgroups:7852,002,1.0
newsgroups:7887,001,0.311589
newsgroups:7887,014,0.275131
newsgroups:7887,002,0.221122
newsgroups:7887,003,0.192158
newsgroups:7922,014,1.0
newsgroups:7957,001,0.460966
newsgroups:7957,017,0.264484
newsgroups:7957,000,0.100223
newsgroups:7957,007,0.095681
newsgroups:7957,014,0.078646
newsgroups:7992,003,1.0
newsgroups:8027,002,1.0
newsgroups:8062,014,1.0
newsgroups:8097,004,1.0
newsgroups:8132,014,0.442156
newsgroups:8132,003,0.372935
newsgroups:8132,002,0.184909
newsgroups:8167,000,0.494878
newsgroups:8167,001,0.311209
newsgroups:8167,002,0.193913
newsgroups:8202,007,1.0
newsgroups:8237,000,1.0
newsgroups:8272,019,1.0
newsgroups:8307,002,0.436931
newsgroups:8307,001,0.213056
newsgroups:8307,000,0.187316
newsgroups:8307,014,0.162698
newsgroups:8342,016,1.0
newsgroups:8377,002,1.0
newsgroups:8412,002,1.0
newsgroups:8447,000,1.0
newsgroups:8482,003,1.0
newsgroups:8517,001,1.0
newsgroups:8552,000,1.0
newsgroups:8587,001,0.501985
newsgroups:8587,012,0.294731
newsgroups:8587,003,0.203284
newsgroups:8622,014,1.0
newsgroups:8657,014,1.0
newsgroups:8692,005,1.0
newsgroups:8727,003,1.0
newsgroups:8762,008,1.0
newsgroups:8797,014,1.0
newsgroups:8832,003,1.0
newsgroups:8867,014,1.0
newsgroups:8902,000,1.0
newsgroups:8937,002,1.0
newsgroups:8972,000,1.0
newsgroups:9007,015,1.0
newsgroups:9042,002,0.649056
newsgroups:9042,000,0.218519
newsgroups:9042,005,0.132424
newsgroups:9077,002,0.759577
newsgroups:9077,003,0.240423
newsgroups:9112,002,1.0
newsgroups:9147,002,0.793373
newsgroups:9147,015,0.206627
newsgroups:9182,002,1.0
newsgroups:9217,002,0.456609
newsgroups:9217,015,0.34482
newsgroups:9217,005,0.198571
newsgroups:9252,002,1.0
newsgroups:9287,002,1.0
newsgroups:9322,015,1.0
newsgroups:9357,002,1.0
newsgroups:9392,002,1.0
newsgroups:9427,002,1.0
newsgroups:9462,007,1.0
newsgroups:9497,002,1.0
newsgroups:9532,015,0.630625
newsgroups:9532,002,0.18905
newsgroups:9532,012,0.08528
newsgroups:9532,001,0.048922
newsgroups:9532,000,0.046124
newsgroups:9567,002,1.0
newsgroups:9602,002,0.538252
newsgroups:9602,000,0.307136
newsgroups:9602,007,0.154612
newsgroups:9637,002,1.0
newsgroups:9672,002,1.0
newsgroups:9707,015,1.0
newsgroups:9742,002,1.0
newsgroups:9777,000,0.336368
newsgroups:9777,015,0.328763
newsgroups:9777,008,0.206305
newsgroups:9777,002,0.088852
newsgroups:9777,004,0.039711
newsgroups:9812,002,1.0
newsgroups:9847,015,1.0
newsgroups:9882,002,0.846817
newsgroups:9882,011,0.153183
newsgroups:9917,015,1.0
newsgroups:9952,006,1.0
newsgroups:9987,002,1.0
newsgroups:10022,000,1.0
newsgroups:10057,002,1.0
newsgroups:10092,002,0.714427
newsgroups:10092,015,0.236306
newsgroups:10092,003,0.025335
newsgroups:10092,000,0.023932
newsgroups:10127,015,0.428192
newsgroups:10127,002,0.389017
newsgroups:10127,012,0.18279
newsgroups:10162,002,1.0
newsgroups:10197,015,0.52481
newsgroups:10197,002,0.331481
newsgroups:10197,003,0.06211
newsgroups:10197,012,0.048424
newsgroups:10197,001,0.033175
newsgroups:10232,002,1.0
newsgroups:10267,002,1.0
newsgroups:10302,000,0.432201
newsgroups:10302,001,0.173841
newsgroups:10302,008,0.172236
newsgroups:10302,006,0.135249
newsgroups:10302,002,0.086472
newsgroups:10337,002,0.574011
newsgroups:10337,015,0.257788
newsgroups:10337,000,0.068245
newsgroups:10337,012,0.063829
newsgroups:10337,001,0.025368
newsgroups:10337,004,0.010759
newsgroups:10372,002,1.0
newsgroups:10407,012,0.350509
newsgroups:10407,015,0.273837
newsgroups:10407,002,0.213229
newsgroups:10407,003,0.162425
newsgroups:10442,002,0.491039
newsgroups:10442,015,0.219405
newsgroups:10442,012,0.139335
newsgroups:10442,004,0.084619
newsgroups:10442,005,0.065602
newsgroups:10477,001,1.0
newsgroups:10512,000,1.0
newsgroups:10547,016,1.0
newsgroups:10582,002,1.0
newsgroups:10617,002,1.0
newsgroups:10652,015,1.0
newsgroups:10687,002,0.853546
newsgroups:10687,015,0.146454
newsgroups:10722,005,1.0
newsgroups:10757,002,0.548536
newsgroups:10757,005,0.173457
newsgroups:10757,000,0.136346
newsgroups:10757,015,0.09003
newsgroups:10757,003,0.051631
newsgroups:10792,002,0.774467
newsgroups:10792,000,0.126336
newsgroups:10792,004,0.099197
newsgroups:10827,002,1.0
newsgroups:10862,002,1.0
newsgroups:10897,015,1.0
newsgroups:10932,015,1.0
newsgroups:10967,015,0.760975
newsgroups:10967,002,0.239026
newsgroups:11002,017,1.0
newsgroups:11037,006,1.0
newsgroups:11072,017,1.0
newsgroups:11107,000,1.0
newsgroups:11142,017,0.440924
newsgroups:11142,000,0.193495
newsgroups:11142,002,0.160721
newsgroups:11142,003,0.136985
newsgroups:11142,005,0.067875
newsgroups:11177,017,1.0
newsgroups:11212,008,0.476546
newsgroups:11212,001,0.347287
newsgroups:11212,000,0.176167
newsgroups:11247,017,1.0
newsgroups:11282,017,0.557142
newsgroups:11282,005,0.134294
newsgroups:11282,002,0.104265
newsgroups:11282,000,0.101529
newsgroups:11282,019,0.06074
newsgroups:11282,003,0.042031
newsgroups:11317,017,0.617204
newsgroups:11317,000,0.176472
newsgroups:11317,003,0.098545
newsgroups:11317,002,0.064235
newsgroups:11317,001,0.043543
newsgroups:11352,017,0.563315
newsgroups:11352,007,0.145608
newsgroups:11352,005,0.143948
newsgroups:11352,003,0.13814
newsgroups:11352,001,0.008989
newsgroups:11387,017,1.0
newsgroups:11422,000,0.83981
newsgroups:11422,002,0.16019
newsgroups:11457,008,1.0
newsgroups:11519,017,0.393195
newsgroups:11519,000,0.193182
newsgroups:11519,001,0.143723
newsgroups:11519,005,0.119877
newsgroups:11519,016,0.062049
newsgroups:11519,004,0.046414
newsgroups:11519,003,0.036701
newsgroups:11519,002,0.004858
newsgroups:11554,003,1.0
newsgroups:11589,000,0.299934
newsgroups:11589,001,0.266753
newsgroups:11589,017,0.259099
newsgroups:11589,003,0.174214
newsgroups:11624,000,0.419567
newsgroups:11624,008,0.294301
newsgroups:11624,003,0.174802
newsgroups:11624,002,0.11133
newsgroups:11659,003,1.0
newsgroups:11694,017,0.77424
newsgroups:11694,002,0.114823
newsgroups:11694,005,0.110936
newsgroups:11729,017,0.590397
newsgroups:11729,003,0.20489
newsgroups:11729,002,0.204713
newsgroups:11764,017,0.618692
newsgroups:11764,001,0.193588
newsgroups:11764,002,0.079314
newsgroups:11764,016,0.07617
newsgroups:11764,000,0.032236
newsgroups:11799,017,0.540039
newsgroups:11799,003,0.247634
newsgroups:11799,001,0.098709
newsgroups:11799,004,0.083075
newsgroups:11799,016,0.030543
newsgroups:11834,017,0.320836
newsgroups:11834,000,0.273183
newsgroups:11834,005,0.1688
newsgroups:11834,002,0.117475
newsgroups:11834,003,0.049865
newsgroups:11834,004,0.043136
newsgroups:11834,019,0.026705
newsgroups:11869,000,1.0
newsgroups:11904,000,1.0
newsgroups:11939,005,1.0
newsgroups:11974,017,0.548151
newsgroups:11974,000,0.194276
newsgroups:11974,003,0.143363
newsgroups:11974,001,0.114211
newsgroups:12009,003,1.0
newsgroups:12044,007,1.0
newsgroups:12079,003,0.258435
newsgroups:12079,011,0.249231
newsgroups:12079,001,0.187269
newsgroups:12079,002,0.179778
newsgroups:12079,000,0.125286
newsgroups:12114,007,1.0
newsgroups:12149,003,1.0
newsgroups:12184,001,0.63838
newsgroups:12184,003,0.36162
newsgroups:12219,001,1.0
newsgroups:12254,007,0.475738
newsgroups:12254,001,0.180995
newsgroups:12254,003,0.178354
newsgroups:12254,004,0.164912
newsgroups:12289,001,0.518416
newsgroups:12289,003,0.410114
newsgroups:12289,013,0.07147
newsgroups:12324,004,1.0
newsgroups:12359,016,1.0
newsgroups:12394,001,1.0
newsgroups:12429,003,0.362111
newsgroups:12429,001,0.346766
newsgroups:12429,012,0.139286
newsgroups:12429,007,0.115067
newsgroups:12429,004,0.03677
newsgroups:12464,003,1.0
newsgroups:12499,012,0.316974
newsgroups:12499,003,0.235632
newsgroups:12499,001,0.174726
newsgroups:12499,017,0.173607
newsgroups:12499,002,0.099061
newsgroups:12534,004,1.0
newsgroups:12569,003,1.0
newsgroups:12604,001,0.721971
newsgroups:12604,003,0.278029
newsgroups:12639,019,1.0
newsgroups:12674,001,1.0
newsgroups:12709,003,1.0
newsgroups:12744,004,1.0
newsgroups:12779,001,1.0
newsgroups:12814,003,0.381263
newsgroups:12814,001,0.292818
newsgroups:12814,007,0.136318
newsgroups:12814,002,0.1314
newsgroups:12814,004,0.058201
newsgroups:12849,003,0.5253
newsgroups:12849,007,0.290293
newsgroups:12849,001,0.094909
newsgroups:12849,019,0.089498
newsgroups:12884,003,1.0
newsgroups:12919,000,0.625573
newsgroups:12919,012,0.139319
newsgroups:12919,003,0.136945
newsgroups:12919,005,0.098163
newsgroups:12954,001,1.0
newsgroups:12989,001,0.676237
newsgroups:12989,003,0.323763
newsgroups:13024,001,0.510242
newsgroups:13024,002,0.206356
newsgroups:13024,003,0.145994
newsgroups:13024,008,0.137408
newsgroups:13059,001,1.0
newsgroups:13094,003,1.0
newsgroups:13129,000,1.0
newsgroups:13164,002,1.0
newsgroups:13199,003,1.0
newsgroups:13234,003,1.0
newsgroups:13269,011,1.0
newsgroups:13304,006,1.0
newsgroups:13339,000,0.633484
newsgroups:13339,003,0.139197
newsgroups:13339,002,0.115559
newsgroups:13339,001,0.11176
newsgroups:13374,006,1.0
newsgroups:13409,016,1.0
newsgroups:13444,000,0.312756
newsgroups:13444,003,0.258753
newsgroups:13444,014,0.221931
newsgroups:13444,001,0.155623
newsgroups:13444,002,0.050937
newsgroups:13479,000,1.0
newsgroups:13514,002,1.0
newsgroups:13549,000,1.0
newsgroups:13584,001,1.0
newsgroups:13619,006,1.0
newsgroups:13654,002,1.0
newsgroups:13689,001,0.733234
newsgroups:13689,004,0.192213
newsgroups:13689,002,0.074547
newsgroups:13724,003,1.0
newsgroups:13759,001,1.0
newsgroups:13794,000,0.567121
newsgroups:13794,001,0.240837
newsgroups:13794,002,0.115571
newsgroups:13794,003,0.076471
newsgroups:13829,001,1.0
newsgroups:13864,001,1.0
newsgroups:13899,001,0.368642
newsgroups:13899,002,0.268632
newsgroups:13899,003,0.126772
newsgroups:13899,012,0.099297
newsgroups:13899,006,0.086618
newsgroups:13899,016,0.050039
newsgroups:13934,005,1.0
newsgroups:13969,001,0.385909
newsgroups:13969,002,0.200083
newsgroups:13969,004,0.148092
newsgroups:13969,008,0.137612
newsgroups:13969,003,0.128304
newsgroups:14004,002,0.570592
newsgroups:14004,001,0.255474
newsgroups:14004,003,0.158022
newsgroups:14004,000,0.015911
newsgroups:14039,016,1.0
newsgroups:14074,001,0.448601
newsgroups:14074,000,0.300174
newsgroups:14074,002,0.136029
newsgroups:14074,003,0.093814
newsgroups:14074,017,0.021383
newsgroups:14109,001,1.0
newsgroups:14144,002,1.0
newsgroups:14179,001,1.0
newsgroups:14214,001,1.0
newsgroups:14249,002,1.0
newsgroups:14284,001,1.0
newsgroups:14319,000,1.0
newsgroups:14354,002,0.463256
newsgroups:14354,001,0.332032
newsgroups:14354,017,0.060154
newsgroups:14354,003,0.058968
newsgroups:14354,016,0.053531
newsgroups:14354,007,0.032058
newsgroups:14389,003,1.0
newsgroups:14424,002,1.0
newsgroups:14459,002,1.0
newsgroups:14494,002,0.435166
newsgroups:14494,000,0.164962
newsgroups:14494,007,0.160312
newsgroups:14494,003,0.134417
newsgroups:14494,011,0.105143
newsgroups:14529,002,0.234357
newsgroups:14529,000,0.233796
newsgroups:14529,001,0.215001
newsgroups:14529,003,0.177632
newsgroups:14529,004,0.090935
newsgroups:14529,016,0.048279
newsgroups:14564,001,0.399022
newsgroups:14564,003,0.330632
newsgroups:14564,002,0.162614
newsgroups:14564,004,0.054482
newsgroups:14564,014,0.05325
newsgroups:14599,001,1.0
newsgroups:14634,002,1.0
newsgroups:14669,000,1.0
newsgroups:14704,001,0.490721
newsgroups:14704,002,0.243716
newsgroups:14704,003,0.156742
newsgroups:14704,000,0.074429
newsgroups:14704,012,0.017565
newsgroups:14704,004,0.016827
newsgroups:14739,000,0.682571
newsgroups:14739,001,0.222718
newsgroups:14739,002,0.094711
newsgroups:14774,003,1.0
newsgroups:14809,001,1.0
newsgroups:14844,001,1.0
newsgroups:14879,002,1.0
newsgroups:14914,001,0.556625
newsgroups:14914,000,0.230782
newsgroups:14914,003,0.173041
newsgroups:14914,002,0.039553
newsgroups:14949,002,1.0
newsgroups:14984,002,1.0
newsgroups:15019,005,1.0
newsgroups:15054,006,0.389789
newsgroups:15054,005,0.339998
newsgroups:15054,000,0.270213
newsgroups:15089,005,0.614845
newsgroups:15089,006,0.133693
newsgroups:15089,002,0.107778
newsgroups:15089,000,0.082181
newsgroups:15089,003,0.038344
newsgroups:15089,016,0.023159
newsgroups:15124,005,1.0
newsgroups:15159,005,0.417157
newsgroups:15159,000,0.337932
newsgroups:15159,002,0.16144
newsgroups:15159,001,0.055631
newsgroups:15159,004,0.027839
newsgroups:15194,006,0.399704
newsgroups:15194,005,0.311337
newsgroups:15194,000,0.176887
newsgroups:15194,002,0.112072
newsgroups:15229,005,0.623253
newsgroups:15229,016,0.118973
newsgroups:15229,000,0.100171
newsgroups:15229,006,0.062781
newsgroups:15229,012,0.04708
newsgroups:15229,001,0.028248
newsgroups:15229,002,0.019495
newsgroups:15264,005,0.853741
newsgroups:15264,000,0.125186
newsgroups:15264,006,0.021073
newsgroups:15299,005,0.436188
newsgroups:15299,006,0.163244
newsgroups:15299,000,0.142887
newsgroups:15299,002,0.119167
newsgroups:15299,001,0.095518
newsgroups:15299,004,0.042996
newsgroups:15334,005,0.515965
newsgroups:15334,002,0.160657
newsgroups:15334,001,0.115445
newsgroups:15334,003,0.113256
newsgroups:15334,000,0.094677
newsgroups:15369,000,1.0
newsgroups:15404,005,0.240282
newsgroups:15404,000,0.229071
newsgroups:15404,006,0.186746
newsgroups:15404,002,0.086691
newsgroups:15404,001,0.076808
newsgroups:15404,003,0.06906
newsgroups:15404,016,0.062598
newsgroups:15404,011,0.048744
newsgroups:15439,012,1.0
newsgroups:15474,006,1.0
newsgroups:15509,006,1.0
newsgroups:15544,005,0.680241
newsgroups:15544,002,0.214457
